Date,Source,TempC
2019-12-10T05:30:00Z,Mean.Temp,14.93
2019-12-10T05:40:00Z,Hobo-Tmp-1,15.69
2019-12-10T05:40:00Z,Hobo-Tmp-2,14.14
2019-12-10T05:40:00Z,Mean.Temp,14.92
2019-12-10T05:50:00Z,Hobo-Tmp-1,15.69
2019-12-10T05:50:00Z,Hobo-Tmp-2,14.17
2019-12-10T05:50:00Z,Mean.Temp,14.93
2019-12-10T06:00:00Z,Hobo-Tmp-1,15.64
2019-12-10T06:00:00Z,Hobo-Tmp-2,14.19
2019-12-10T06:00:00Z,Mean.Temp,14.92
2019-12-10T06:10:00Z,Hobo-Tmp-1,15.68
2019-12-10T06:10:00Z,Hobo-Tmp-2,14.22
2019-12-10T06:10:00Z,Mean.Temp,14.95
2019-12-10T06:20:00Z,Hobo-Tmp-1,15.68
2019-12-10T06:20:00Z,Hobo-Tmp-2,14.23
2019-12-10T06:20:00Z,Mean.Temp,14.95
2019-12-10T06:30:00Z,Hobo-Tmp-1,15.67
2019-12-10T06:30:00Z,Hobo-Tmp-2,14.23
2019-12-10T06:30:00Z,Mean.Temp,14.95
2019-12-10T06:40:00Z,Hobo-Tmp-1,15.69
2019-12-10T06:40:00Z,Hobo-Tmp-2,14.24
2019-12-10T06:40:00Z,Mean.Temp,14.96
2019-12-10T06:50:00Z,Hobo-Tmp-1,15.67
2019-12-10T06:50:00Z,Hobo-Tmp-2,14.23
2019-12-10T06:50:00Z,Mean.Temp,14.95
2019-12-10T07:00:00Z,Hobo-Tmp-1,15.69
2019-12-10T07:00:00Z,Hobo-Tmp-2,14.26
2019-12-10T07:00:00Z,Mean.Temp,14.97
2019-12-10T07:10:00Z,Hobo-Tmp-1,15.7
2019-12-10T07:10:00Z,Hobo-Tmp-2,14.29
2019-12-10T07:10:00Z,Mean.Temp,15
2019-12-10T07:20:00Z,Hobo-Tmp-1,15.69
2019-12-10T07:20:00Z,Hobo-Tmp-2,14.32
2019-12-10T07:20:00Z,Mean.Temp,15
2019-12-10T07:30:00Z,Hobo-Tmp-1,15.69
2019-12-10T07:30:00Z,Hobo-Tmp-2,14.31
2019-12-10T07:30:00Z,Mean.Temp,15
2019-12-10T07:40:00Z,Hobo-Tmp-1,15.69
2019-12-10T07:40:00Z,Hobo-Tmp-2,14.31
2019-12-10T07:40:00Z,Mean.Temp,15
2019-12-10T07:50:00Z,Hobo-Tmp-1,15.7
2019-12-10T07:50:00Z,Hobo-Tmp-2,14.33
2019-12-10T07:50:00Z,Mean.Temp,15.01
2019-12-10T08:00:00Z,Hobo-Tmp-1,15.7
2019-12-10T08:00:00Z,Hobo-Tmp-2,14.35
2019-12-10T08:00:00Z,Mean.Temp,15.03
2019-12-10T08:10:00Z,Hobo-Tmp-1,15.69
2019-12-10T08:10:00Z,Hobo-Tmp-2,14.34
2019-12-10T08:10:00Z,Mean.Temp,15.01
2019-12-10T08:20:00Z,Hobo-Tmp-1,15.71
2019-12-10T08:20:00Z,Hobo-Tmp-2,14.36
2019-12-10T08:20:00Z,Mean.Temp,15.03
2019-12-10T08:30:00Z,Hobo-Tmp-1,15.71
2019-12-10T08:30:00Z,Hobo-Tmp-2,14.36
2019-12-10T08:30:00Z,Mean.Temp,15.03
2019-12-10T08:40:00Z,Hobo-Tmp-1,15.71
2019-12-10T08:40:00Z,Hobo-Tmp-2,14.38
2019-12-10T08:40:00Z,Mean.Temp,15.04
2019-12-10T08:50:00Z,Hobo-Tmp-1,15.73
2019-12-10T08:50:00Z,Hobo-Tmp-2,14.42
2019-12-10T08:50:00Z,Mean.Temp,15.08
2019-12-10T09:00:00Z,Hobo-Tmp-1,15.74
2019-12-10T09:00:00Z,Hobo-Tmp-2,14.44
2019-12-10T09:00:00Z,Mean.Temp,15.09
2019-12-10T09:10:00Z,Hobo-Tmp-1,15.74
2019-12-10T09:10:00Z,Hobo-Tmp-2,14.51
2019-12-10T09:10:00Z,Mean.Temp,15.13
2019-12-10T09:20:00Z,Hobo-Tmp-1,15.76
2019-12-10T09:20:00Z,Hobo-Tmp-2,14.55
2019-12-10T09:20:00Z,Mean.Temp,15.16
2019-12-10T09:30:00Z,Hobo-Tmp-1,15.76
2019-12-10T09:30:00Z,Hobo-Tmp-2,14.61
2019-12-10T09:30:00Z,Mean.Temp,15.18
2019-12-10T09:40:00Z,Hobo-Tmp-1,15.79
2019-12-10T09:40:00Z,Hobo-Tmp-2,14.68
2019-12-10T09:40:00Z,Mean.Temp,15.24
2019-12-10T09:50:00Z,Hobo-Tmp-1,15.81
2019-12-10T09:50:00Z,Hobo-Tmp-2,14.73
2019-12-10T09:50:00Z,Mean.Temp,15.27
2019-12-10T10:00:00Z,Hobo-Tmp-1,15.83
2019-12-10T10:00:00Z,Hobo-Tmp-2,14.79
2019-12-10T10:00:00Z,Mean.Temp,15.31
2019-12-10T10:10:00Z,Hobo-Tmp-1,15.79
2019-12-10T10:10:00Z,Hobo-Tmp-2,14.86
2019-12-10T10:10:00Z,Mean.Temp,15.33
2019-12-10T10:20:00Z,Hobo-Tmp-1,15.79
2019-12-10T10:20:00Z,Hobo-Tmp-2,14.91
2019-12-10T10:20:00Z,Mean.Temp,15.35
2019-12-10T10:30:00Z,Hobo-Tmp-1,15.86
2019-12-10T10:30:00Z,Hobo-Tmp-2,14.97
2019-12-10T10:30:00Z,Mean.Temp,15.42
2019-12-10T10:40:00Z,Hobo-Tmp-1,15.85
2019-12-10T10:40:00Z,Hobo-Tmp-2,15.03
2019-12-10T10:40:00Z,Mean.Temp,15.44
2019-12-10T10:50:00Z,Hobo-Tmp-1,15.83
2019-12-10T10:50:00Z,Hobo-Tmp-2,15.1
2019-12-10T10:50:00Z,Mean.Temp,15.46
2019-12-10T11:00:00Z,Hobo-Tmp-1,15.85
2019-12-10T11:00:00Z,Hobo-Tmp-2,15.17
2019-12-10T11:00:00Z,Mean.Temp,15.51
2019-12-10T11:10:00Z,Hobo-Tmp-1,15.83
2019-12-10T11:10:00Z,Hobo-Tmp-2,15.19
2019-12-10T11:10:00Z,Mean.Temp,15.51
2019-12-10T11:20:00Z,Hobo-Tmp-1,15.84
2019-12-10T11:20:00Z,Hobo-Tmp-2,15.27
2019-12-10T11:20:00Z,Mean.Temp,15.56
2019-12-10T11:30:00Z,Hobo-Tmp-1,15.84
2019-12-10T11:30:00Z,Hobo-Tmp-2,15.32
2019-12-10T11:30:00Z,Mean.Temp,15.58
2019-12-10T11:40:00Z,Hobo-Tmp-1,15.85
2019-12-10T11:40:00Z,Hobo-Tmp-2,15.34
2019-12-10T11:40:00Z,Mean.Temp,15.6
2019-12-10T11:50:00Z,Hobo-Tmp-1,15.85
2019-12-10T11:50:00Z,Hobo-Tmp-2,15.41
2019-12-10T11:50:00Z,Mean.Temp,15.63
2019-12-10T12:00:00Z,Hobo-Tmp-1,15.88
2019-12-10T12:00:00Z,Hobo-Tmp-2,15.44
2019-12-10T12:00:00Z,Mean.Temp,15.66
2019-12-10T12:10:00Z,Hobo-Tmp-1,15.88
2019-12-10T12:10:00Z,Hobo-Tmp-2,15.47
2019-12-10T12:10:00Z,Mean.Temp,15.68
2019-12-10T12:20:00Z,Hobo-Tmp-1,15.88
2019-12-10T12:20:00Z,Hobo-Tmp-2,15.49
2019-12-10T12:20:00Z,Mean.Temp,15.69
2019-12-10T12:30:00Z,Hobo-Tmp-1,15.87
2019-12-10T12:30:00Z,Hobo-Tmp-2,15.53
2019-12-10T12:30:00Z,Mean.Temp,15.7
2019-12-10T12:40:00Z,Hobo-Tmp-1,15.86
2019-12-10T12:40:00Z,Hobo-Tmp-2,15.54
2019-12-10T12:40:00Z,Mean.Temp,15.7
2019-12-10T12:50:00Z,Hobo-Tmp-1,15.88
2019-12-10T12:50:00Z,Hobo-Tmp-2,15.6
2019-12-10T12:50:00Z,Mean.Temp,15.74
2019-12-10T13:00:00Z,Hobo-Tmp-1,15.89
2019-12-10T13:00:00Z,Hobo-Tmp-2,15.6
